time,distance_in_cm
2024-03-25 08:57:06.231004,29.19
2024-03-25 08:57:07.983091,29.22
2024-03-25 08:57:09.697019,29.17
2024-03-25 08:57:11.408582,29.15
2024-03-25 08:57:13.121714,29.22
2024-03-25 08:57:15.252310,29.22
2024-03-25 08:57:16.968764,29.19
2024-03-25 08:57:18.664391,29.22
2024-03-25 08:57:20.397945,29.66
2024-03-25 08:57:22.106012,29.16
2024-03-25 08:57:23.804075,29.65
2024-03-25 08:57:25.525292,29.24
2024-03-25 08:57:27.279185,29.19
2024-03-25 08:57:28.992846,29.69
2024-03-25 08:57:30.870085,29.68
2024-03-25 08:57:32.569933,29.14
2024-03-25 08:57:34.281871,29.28
2024-03-25 08:57:35.998583,29.23
2024-03-25 08:57:37.704518,29.24
2024-03-25 08:57:39.444792,29.19
2024-03-25 08:57:41.335016,29.65
2024-03-25 08:57:43.038108,29.28
2024-03-25 08:57:44.768527,29.24
2024-03-25 08:57:46.479814,29.26
2024-03-25 08:57:48.196707,29.19
2024-03-25 08:57:56.144668,29.17
2024-03-25 08:57:57.855074,29.24
2024-03-25 08:57:59.567061,29.16
2024-03-25 08:58:01.338558,29.17
2024-03-25 08:58:03.137697,29.26
2024-03-25 08:58:04.875437,29.21
2024-03-25 08:58:06.597059,29.67
2024-03-25 08:58:08.318402,29.24
2024-03-25 08:58:10.056319,29.19
2024-03-25 08:58:11.788031,29.16
2024-03-25 08:58:13.541436,29.16
2024-03-25 08:58:15.243413,29.16
2024-03-25 08:58:16.949135,29.63
2024-03-25 08:58:18.663594,29.15
2024-03-25 08:58:20.365063,29.1
2024-03-25 08:58:22.077153,29.68
2024-03-25 08:58:23.799256,29.28
2024-03-25 08:58:25.529887,29.13
2024-03-25 08:58:27.225999,29.24
2024-03-25 08:58:28.947314,29.16
2024-03-25 08:58:30.699843,29.17
2024-03-25 08:58:32.453811,29.24
2024-03-25 08:58:34.140802,29.22
2024-03-25 08:58:35.839874,29.24
2024-03-25 08:58:37.538775,29.21
2024-03-25 08:58:39.242806,29.26
2024-03-25 08:58:40.930660,29.19
2024-03-25 08:58:42.711408,29.67
2024-03-25 08:58:44.402924,29.13
2024-03-25 08:58:46.250743,29.21
2024-03-25 08:58:47.949221,29.62
2024-03-25 08:58:49.676327,29.18
2024-03-25 08:58:51.372047,29.18
2024-03-25 08:58:53.526860,29.63
2024-03-25 08:58:55.326518,29.64
2024-03-25 08:58:57.018813,29.24
2024-03-25 08:58:58.708867,29.18
2024-03-25 08:59:00.411114,29.23
2024-03-25 08:59:02.125796,29.22
2024-03-25 08:59:03.820286,29.68
2024-03-25 08:59:05.517116,29.19
2024-03-25 08:59:07.206695,29.23
2024-03-25 08:59:08.902970,29.18
2024-03-25 08:59:10.607231,29.69
2024-03-25 08:59:12.293343,29.59
2024-03-25 08:59:13.981610,29.68
2024-03-25 08:59:15.674391,29.26
2024-03-25 08:59:17.413109,29.16
2024-03-25 08:59:19.102322,29.66
2024-03-25 08:59:20.807093,29.27
2024-03-25 08:59:22.515150,29.25
2024-03-25 08:59:24.211579,29.2
2024-03-25 08:59:25.905515,29.23
2024-03-25 08:59:27.595408,29.3
2024-03-25 08:59:29.287544,28.44
2024-03-25 08:59:30.994343,29.26
2024-03-25 08:59:32.683449,29.25
2024-03-25 08:59:34.374730,29.23
2024-03-25 08:59:36.068983,29.68
2024-03-25 08:59:37.765335,29.17
2024-03-25 08:59:39.462034,29.22
2024-03-25 08:59:41.169527,29.22
2024-03-25 08:59:42.854567,29.67
2024-03-25 08:59:44.546816,29.62
2024-03-25 08:59:46.243552,29.16
2024-03-25 08:59:47.939493,29.23
2024-03-25 08:59:49.635705,29.22
2024-03-25 08:59:51.331749,29.18
2024-03-25 08:59:53.332881,29.2
2024-03-25 08:59:55.243022,29.12
2024-03-25 08:59:56.939009,29.27
2024-03-25 08:59:58.633941,29.21
2024-03-25 09:00:00.335484,29.16
2024-03-25 09:00:02.108227,29.19
2024-03-25 09:00:03.799046,29.19
2024-03-25 09:00:05.498779,29.15
2024-03-25 09:00:07.183764,29.15
2024-03-25 09:00:08.873047,29.24
2024-03-25 09:00:10.575179,29.26
2024-03-25 09:00:12.265631,29.24
2024-03-25 09:00:13.952176,29.26
2024-03-25 09:00:15.658055,29.62
2024-03-25 09:00:17.345188,29.17
2024-03-25 09:00:19.046950,29.64
2024-03-25 09:00:20.739248,29.64
2024-03-25 09:00:22.429420,29.23
2024-03-25 09:00:24.117151,29.24
2024-03-25 09:00:25.823841,29.64
2024-03-25 09:00:27.522303,29.6
2024-03-25 09:00:29.228237,29.67
2024-03-25 09:00:30.921216,29.62
2024-03-25 09:00:32.608942,29.19
2024-03-25 09:00:34.295816,29.62
2024-03-25 09:00:35.992447,29.26
2024-03-25 09:00:37.685080,29.24
2024-03-25 09:00:39.376954,29.15
2024-03-25 09:00:41.069062,29.68
2024-03-25 09:00:42.754281,29.17
2024-03-25 09:00:44.450292,29.13
2024-03-25 09:00:46.149513,29.25
