time,temp_in_celsius,hum_in_percent
2024-03-25 09:20:05.972543,20.9,57.0
2024-03-25 09:20:17.230931,20.9,57.0
2024-03-25 09:20:33.972706,20.9,57.0
2024-03-25 09:20:39.762278,21.0,58.0
2024-03-25 09:20:51.123794,20.9,57.0
2024-03-25 09:21:07.863915,20.9,57.0
2024-03-25 09:21:24.603453,21.0,58.0
2024-03-25 09:21:35.864383,21.0,58.0
2024-03-25 09:21:47.125876,20.9,57.0
2024-03-25 09:21:58.393837,21.0,58.0
2024-03-25 09:22:09.645025,21.0,58.0
2024-03-25 09:22:20.906753,20.9,57.0
2024-03-25 09:22:32.163575,20.9,57.0
2024-03-25 09:22:48.901405,20.9,57.0
2024-03-25 09:23:00.159809,20.9,57.0
2024-03-25 09:23:16.912003,20.9,57.0
